dataset_id,model_id,model_variant,selection_metric,task_id,history_steps,forecast_steps,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,mae_pu,rmse_pu,source_repo,source_commit,source_file,model_class,adapter_class,train_script,search_config_id,seed,feature_budget_id,output_parameterization,uses_target_history,uses_local_history,uses_global_history,uses_future_calendar,uses_static,uses_pairwise,uses_future_target,selected_by,no_test_feedback,gate_a_passed,gate_b_passed,gate_c_passed,test_evaluated_at
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_last_value_persistence_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,analytic://last-value-persistence,not-applicable,analytic://last-value-persistence,LastValuePersistence,LastValuePersistenceAdapter,not-applicable,debug_matrix,3407,B0,direct,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_seasonal_persistence_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,analytic://seasonal-persistence,not-applicable,analytic://seasonal-persistence,SeasonalPersistence,SeasonalPersistenceAdapter,not-applicable,debug_matrix,3407,B0,direct,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,B0,residual,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_mlp_residual_persistence_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,repo://official-baselines-v2-controls,not-applicable,/home/sam/datasets/experiment/families/world_model_official_baselines_v2/adapters/residual_controls.py,MLPResidualControl,MLPResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,B0,residual,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_gru_residual_persistence_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,repo://official-baselines-v2-controls,not-applicable,/home/sam/datasets/experiment/families/world_model_official_baselines_v2/adapters/residual_controls.py,GRUResidualControl,GRUResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,B0,residual,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_tcn_residual_persistence_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,repo://official-baselines-v2-controls,not-applicable,/home/sam/datasets/experiment/families/world_model_official_baselines_v2/adapters/residual_controls.py,TCNResidualControl,TCNResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,B0,residual,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,dgcrn_official_core_direct_b2_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/tsinghua-fib-lab/Traffic-Benchmark.git,b9f8e40b4df9b58f5ad88432dc070cbbbcdc0228,/home/sam/datasets/experiment/official_baselines/dgcrn/source/methods/DGCRN/net.py,DGCRN,DGCRNOfficialCoreAdapter,experiment/official_baselines/dgcrn/source/methods/DGCRN/train.py,debug_matrix,3407,B2,direct,true,true,true,true,true,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,dgcrn_official_core_residual_b2_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/tsinghua-fib-lab/Traffic-Benchmark.git,b9f8e40b4df9b58f5ad88432dc070cbbbcdc0228,/home/sam/datasets/experiment/official_baselines/dgcrn/source/methods/DGCRN/net.py,DGCRN,DGCRNOfficialCoreAdapter,experiment/official_baselines/dgcrn/source/methods/DGCRN/train.py,debug_matrix,3407,B2,residual,true,true,true,true,true,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,timexer_official_target_only_direct_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,/home/sam/datasets/experiment/official_baselines/timexer/source/models/TimeXer.py,Model,TimeXerOfficialAdapter,experiment/official_baselines/timexer/source/run.py,debug_matrix,3407,B0,direct,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,timexer_official_target_only_residual_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,/home/sam/datasets/experiment/official_baselines/timexer/source/models/TimeXer.py,Model,TimeXerOfficialAdapter,experiment/official_baselines/timexer/source/run.py,debug_matrix,3407,B0,residual,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,timexer_official_full_exog_residual_b2_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/thuml/TimeXer.git,76011909357972bd55a27adba2e1be994d81b327,/home/sam/datasets/experiment/official_baselines/timexer/source/models/TimeXer.py,Model,TimeXerOfficialAdapter,experiment/official_baselines/timexer/source/run.py,debug_matrix,3407,B2,residual,true,true,true,true,true,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,itransformer_official_target_only_direct_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/thuml/iTransformer.git,c2426e68ca13f74aaec08045c5c724d8ad328124,/home/sam/datasets/experiment/official_baselines/itransformer/source/model/iTransformer.py,Model,ITransformerOfficialAdapter,experiment/official_baselines/itransformer/source/run.py,debug_matrix,3407,B0,direct,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,itransformer_official_target_only_residual_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/thuml/iTransformer.git,c2426e68ca13f74aaec08045c5c724d8ad328124,/home/sam/datasets/experiment/official_baselines/itransformer/source/model/iTransformer.py,Model,ITransformerOfficialAdapter,experiment/official_baselines/itransformer/source/run.py,debug_matrix,3407,B0,residual,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,itransformer_official_target_plus_exog_residual_b2_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/thuml/iTransformer.git,c2426e68ca13f74aaec08045c5c724d8ad328124,/home/sam/datasets/experiment/official_baselines/itransformer/source/model/iTransformer.py,Model,ITransformerOfficialAdapter,experiment/official_baselines/itransformer/source/run.py,debug_matrix,3407,B2,residual,true,true,true,true,true,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,tft_pf_per_turbine_direct_b2_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://pytorch-forecasting.readthedocs.io/,runtime-package,site-packages/pytorch_forecasting/models/temporal_fusion_transformer/_tft.py,TemporalFusionTransformer,TFTPytorchForecastingAdapter,adapters/tft_pf.py,debug_matrix,3407,B2,direct,true,true,true,true,true,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,tft_pf_per_turbine_residual_b2_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://pytorch-forecasting.readthedocs.io/,runtime-package,site-packages/pytorch_forecasting/models/temporal_fusion_transformer/_tft.py,TemporalFusionTransformer,TFTPytorchForecastingAdapter,adapters/tft_pf.py,debug_matrix,3407,B2,residual,true,true,true,true,true,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_target_only_b0_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,3407,B0,direct,true,false,false,false,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,mtgnn_official_core_calendar_residual_b1_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://github.com/nnzhan/MTGNN.git,f811746fa7022ebf336f9ecd2434af5f365ecbf6,/home/sam/datasets/experiment/official_baselines/mtgnn/source/net.py,gtnet,MTGNNOfficialCoreAdapter,experiment/official_baselines/mtgnn/source/train_multi_step.py,debug_matrix,3407,B1,residual,true,false,false,true,false,false,false,validation_only,true,false,false,false,
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,chronos2_official_zero_shot_b2_v2,val_overall_rmse,next_6h_from_24h,144,36,debug,rolling_origin_no_refit,gate_status,,,,,https://huggingface.co/amazon/chronos-2,chronos-forecasting>=2.0,site-packages/chronos,Chronos2Pipeline,Chronos2OfficialAdapter,adapters/chronos2_official.py,zero_shot_default,3407,B2,direct,true,true,true,true,true,false,false,validation_only,true,false,false,false,
