dataset_id,model_id,model_variant,task_id,history_steps,forecast_steps,source_repo,source_commit,source_file,model_class,adapter_class,train_script,search_config_id,seed,selection_metric,feature_budget_id,output_parameterization,uses_target_history,uses_local_history,uses_global_history,uses_future_calendar,uses_static,uses_pairwise,uses_future_target,selected_by,no_test_feedback,test_evaluated_at,split_name,eval_protocol,metric_scope,lead_step,trial_id,trial_status,trial_blocker,alpha,formal_search_config_id,is_best_validation_trial,gate_a_passed,gate_b_passed,gate_c_passed,runtime_seconds,window_count,prediction_count,mae_pu,rmse_pu,mae_kw,rmse_kw,lead1_mae_pu,lead1_rmse_pu,short_rmse_pu,mid_rmse_pu,long_rmse_pu,ae_p50,ae_p90,ae_p95
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_last_value_persistence_v2,next_6h_from_24h,144,36,analytic://last-value-persistence,not-applicable,analytic://last-value-persistence,LastValuePersistence,LastValuePersistenceAdapter,not-applicable,debug_matrix,3407,val_overall_rmse,B0,direct,true,false,false,false,false,false,false,validation_only,true,,val,rolling_origin_no_refit,overall,,analytic_last_value,completed,,,analytic_no_tuning,true,true,,true,1.2247842338401824,47139,10139796,0.11656944245041276,0.18127188209617556,238.96735702334615,371.6073582971599,0.044389989952568966,0.0743121400771607,0.11362479018708486,0.16526985710408934,0.2078606321173457,0.0672353794798255,0.30230166390538216,0.410270556807518
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_last_value_persistence_v2,next_6h_from_24h,144,36,analytic://last-value-persistence,not-applicable,analytic://last-value-persistence,LastValuePersistence,LastValuePersistenceAdapter,not-applicable,debug_matrix,3407,val_overall_rmse,B0,direct,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,analytic_last_value,completed,,,analytic_no_tuning,true,true,,true,1.2247842338401824,1310,281787,0.11660290624675479,0.18098830787926937,239.03595780584732,371.0260311525022,0.044436988665703385,0.0748239916788288,0.11100031554444839,0.1639411122114693,0.2085442805850084,0.06762132712174207,0.300949577987194,0.4116702917963267
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_last_value_persistence_v2,next_6h_from_24h,144,36,analytic://last-value-persistence,not-applicable,analytic://last-value-persistence,LastValuePersistence,LastValuePersistenceAdapter,not-applicable,debug_matrix,3407,val_overall_rmse,B0,direct,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,analytic_last_value,completed,,,analytic_no_tuning,true,true,,true,1.2247842338401824,94458,20300940,0.11918030067383688,0.1864319364213565,244.3196163813656,382.1854696637808,0.045380068067488885,0.07545687348713748,0.11433489072217844,0.1671291879478433,0.2157192645872846,0.06802986934781075,0.3087732791900635,0.4221655856817963
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_last_value_persistence_v2,next_6h_from_24h,144,36,analytic://last-value-persistence,not-applicable,analytic://last-value-persistence,LastValuePersistence,LastValuePersistenceAdapter,not-applicable,debug_matrix,3407,val_overall_rmse,B0,direct,true,false,false,false,false,false,false,validation_only,true,,test,non_overlap,overall,,analytic_last_value,completed,,,analytic_no_tuning,true,true,,true,1.2247842338401824,2624,563951,0.1175100224255484,0.18414197213710143,240.8955459723742,377.4910428810579,0.04577868207497311,0.07598693722742637,0.11346501151689266,0.1642960968568577,0.21339497760785409,0.06651785224676132,0.30560852587223053,0.41706979274749756
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_seasonal_persistence_v2,next_6h_from_24h,144,36,analytic://seasonal-persistence,not-applicable,analytic://seasonal-persistence,SeasonalPersistence,SeasonalPersistenceAdapter,not-applicable,debug_matrix,3407,val_overall_rmse,B0,direct,true,false,false,false,false,false,false,validation_only,true,,val,rolling_origin_no_refit,overall,,analytic_seasonal,completed,,,analytic_no_tuning,true,true,,,0.09513049409724772,47139,10139796,0.22091238664355892,0.3089832627237235,452.8703926192958,633.4156885836331,0.2132304205471772,0.30049596399584416,0.30152428219289074,0.3059067822113897,0.3134480968744236,0.1495494432747364,0.5521373404189944,0.6849385425448418
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_seasonal_persistence_v2,next_6h_from_24h,144,36,analytic://seasonal-persistence,not-applicable,analytic://seasonal-persistence,SeasonalPersistence,SeasonalPersistenceAdapter,not-applicable,debug_matrix,3407,val_overall_rmse,B0,direct,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,analytic_seasonal,completed,,,analytic_no_tuning,true,true,,,0.09513049409724772,1310,281787,0.22119297388078524,0.3083031779772718,453.44559645560975,632.0215148534072,0.21545151677696645,0.3019701094497749,0.3040403390899474,0.30465785737795664,0.31210754964997695,0.15095486864447594,0.5494176149368286,0.6789686441421509
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_seasonal_persistence_v2,next_6h_from_24h,144,36,analytic://seasonal-persistence,not-applicable,analytic://seasonal-persistence,SeasonalPersistence,SeasonalPersistenceAdapter,not-applicable,debug_matrix,3407,val_overall_rmse,B0,direct,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,analytic_seasonal,completed,,,analytic_no_tuning,true,true,,,0.09513049409724772,94458,20300940,0.2337544811084132,0.32755962329776367,479.19668627224706,671.4972277604155,0.22801344200275508,0.3217236396718774,0.3225730105749738,0.3257455496035673,0.3304028690176965,0.15636300295591354,0.5906349465250976,0.7383896760642537
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_seasonal_persistence_v2,next_6h_from_24h,144,36,analytic://seasonal-persistence,not-applicable,analytic://seasonal-persistence,SeasonalPersistence,SeasonalPersistenceAdapter,not-applicable,debug_matrix,3407,val_overall_rmse,B0,direct,true,false,false,false,false,false,false,validation_only,true,,test,non_overlap,overall,,analytic_seasonal,completed,,,analytic_no_tuning,true,true,,,0.09513049409724772,2624,563951,0.23206660766612125,0.32595489537275035,475.7365457155486,668.2075355141383,0.22471288829008132,0.3191347700437106,0.3198069030705895,0.32526925762704767,0.328434222159486,0.15385207533836365,0.5868465453386307,0.7352668819949031
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,rolling_origin_no_refit,overall,,ridge_alpha_0,completed,,0.0,ridge_b0_alpha_0,true,true,false,true,49.888535120058805,47139,10139796,0.11478939881534826,0.16380506519273147,235.31826757146393,335.8003836450995,0.04399240008132659,0.07127520853519367,0.10609969548151528,0.15121869810056435,0.18619099656449614,0.07526247203350067,0.27093009650707245,0.36179669201374054
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,ridge_alpha_0,completed,,0.0,ridge_b0_alpha_0,true,true,false,true,49.888535120058805,1310,281787,0.11497133775657593,0.16324918485252973,235.69124240098066,334.66082894768596,0.04372090081704708,0.0715663791000595,0.10413376354167214,0.1498506066795095,0.18632584400641478,0.07606720924377441,0.2695157170295715,0.35893196761608126
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,ridge_alpha_0,completed,,0.0,ridge_b0_alpha_0,true,true,false,true,49.888535120058805,94458,20300940,0.11812431817319355,0.16965766658299838,242.15485225504676,347.7982164951467,0.04467076440974442,0.07189589869637969,0.10661631887797655,0.15406559042306817,0.19481862609995274,0.07754920050501823,0.27777915149927146,0.3738167941570283
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,non_overlap,overall,,ridge_alpha_0,completed,,0.0,ridge_b0_alpha_0,true,true,false,true,49.888535120058805,2624,563951,0.11681920442422451,0.16827165999980923,239.47936906966024,344.95690299960893,0.04517634110909033,0.07258111088752237,0.1061701475184747,0.15285734470996803,0.19313902105948685,0.07628847658634186,0.2761760503053665,0.37064939364790916
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,rolling_origin_no_refit,overall,,ridge_alpha_0.0001,completed,,0.0001,ridge_b0_alpha_0.0001,false,true,false,true,50.88250268390402,47139,10139796,0.11478939877107705,0.16380506521160734,235.31826748070796,335.8003836837951,0.043992399958125865,0.07127520848059427,0.10609969546316131,0.15121869810789149,0.18619099659722774,0.0752624703454785,0.27093009650707245,0.36179669201374054
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,ridge_alpha_0.0001,completed,,0.0001,ridge_b0_alpha_0.0001,false,true,false,true,50.88250268390402,1310,281787,0.11497133767676752,0.1632491848345145,235.69124223737342,334.66082891075473,0.043720900565609115,0.07156637892068858,0.10413376350001388,0.14985060667147398,0.18632584398691418,0.07606720179319382,0.26951568126678466,0.35893196761608126
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,ridge_alpha_0.0001,completed,,0.0001,ridge_b0_alpha_0.0001,false,true,false,true,50.88250268390402,94458,20300940,0.11812431812033679,0.1696576666052878,242.15485214669042,347.79821654084,0.04467076433236453,0.07189589873970192,0.10661631892004904,0.15406559044252643,0.19481862612084047,0.07754919305443764,0.2777791529893876,0.3738167941570283
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,non_overlap,overall,,ridge_alpha_0.0001,completed,,0.0001,ridge_b0_alpha_0.0001,false,true,false,true,50.88250268390402,2624,563951,0.11681920440421859,0.16827166004141936,239.4793690286481,344.9569030849097,0.045176341110974565,0.07258111085591283,0.10617014755243386,0.1528573447211167,0.1931390211198957,0.07628847658634186,0.27617602050304413,0.37064939364790916
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,rolling_origin_no_refit,overall,,ridge_alpha_0.001,completed,,0.001,ridge_b0_alpha_0.001,false,true,false,true,51.875636531971395,47139,10139796,0.11478939834113303,0.16380506531780456,235.3182665993227,335.80038390149934,0.043992398971803695,0.07127520821537035,0.10609969525647187,0.1512186981100403,0.18619099682218251,0.07526244054315612,0.2709300369024277,0.3617967367172241
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,ridge_alpha_0.001,completed,,0.001,ridge_b0_alpha_0.001,false,true,false,true,51.875636531971395,1310,281787,0.11497133724639481,0.16324918488683832,235.69124135510936,334.66082901801855,0.043720899741644906,0.07156637937989967,0.1041337636749958,0.14985060661984173,0.18632584407370079,0.07606719434261322,0.2695157051086426,0.35893198847770696
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,ridge_alpha_0.001,completed,,0.001,ridge_b0_alpha_0.001,false,true,false,true,51.875636531971395,94458,20300940,0.11812431761404614,0.16965766677090205,242.1548511087946,347.7982168803492,0.04467076353237611,0.0718958989657144,0.1066163192847759,0.15406559064146488,0.19481862623787535,0.07754917815327644,0.27777920812368395,0.37381685376167306
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,non_overlap,overall,,ridge_alpha_0.001,completed,,0.001,ridge_b0_alpha_0.001,false,true,false,true,51.875636531971395,2624,563951,0.11681920403865569,0.16827166023408094,239.47936827924414,344.9569034798659,0.045176340494362394,0.07258111102434937,0.10617014794993936,0.15285734486132646,0.1931390213087792,0.07628849148750305,0.2761759012937546,0.3706493712961674
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,rolling_origin_no_refit,overall,,ridge_alpha_0.01,completed,,0.01,ridge_b0_alpha_0.01,false,true,false,true,52.891579353949055,47139,10139796,0.11478939410811662,0.16380506648646417,235.31825792163906,335.8003862972516,0.04399238890069198,0.0712752051267326,0.10609969324112102,0.15121869818706357,0.18619099921959073,0.07526246830821037,0.27092982083559036,0.3617965392768383
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,ridge_alpha_0.01,completed,,0.01,ridge_b0_alpha_0.01,false,true,false,true,52.891579353949055,1310,281787,0.11497133275256266,0.16324918522711368,235.69123214275345,334.660829715583,0.043720889533937254,0.07156637969722612,0.10413376513099969,0.1498506054831363,0.18632584500838673,0.07606706768274307,0.2695156574249267,0.3589320063591004
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,ridge_alpha_0.01,completed,,0.01,ridge_b0_alpha_0.01,false,true,false,true,52.891579353949055,94458,20300940,0.11812431251312368,0.16965766837909999,242.15484065190353,347.798220177155,0.04467075554319477,0.07189590128970523,0.10661632276187913,0.15406559252248492,0.19481862741288553,0.07754910737276077,0.2777790427207947,0.3738168880343439
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,non_overlap,overall,,ridge_alpha_0.01,completed,,0.01,ridge_b0_alpha_0.01,false,true,false,true,52.891579353949055,2624,563951,0.11681920046558257,0.16827166214427738,239.47936095444427,344.9569073957686,0.045176334735712816,0.0725811135606225,0.10617015181490405,0.15285734634809145,0.19313902314451284,0.0762883722782135,0.2761745750904083,0.3706491068005562
